Name,Author,Image
The Great Gatsby,F. Scott Fitzgerald,1.jpg
The Grapes of Wrath,John Steinbeck,2.jpg
Nineteen Eighty-Four,George Orwell,3.jpg
Ulysses,James Joyce,4.jpg
Lolita,Vladimir Nabokov,5.jpg
Catch-22,Joseph Heller,6.jpg
The Catcher in the Rye,J. D. Salinger,7.jpg
Beloved,Toni Morrison,8.jpg
The Sound and the Fury,William Faulkner,9.jpg
To Kill a Mockingbird,Harper Lee,10.jpg
The Lord of the Rings,J. R. R. Tolkien,11.jpg
One Hundred Years of Solitude,Gabriel García Márquez,12.jpg
Brave New World,Aldous Huxley,13.jpg
To the Lighthouse,Virginia Woolf,14.jpg
Invisible Man,Ralph Ellison,15.jpg
Gone with the Wind,Margaret Mitchell,16.jpg
Jane Eyre,Charlotte Brontë,17.jpg
On the Road,Jack Kerouac,18.jpg
